label_id,canonical_name,pv_name,target_name
0,Apple_Scab_Leaf,Apple___Apple_scab,Apple_Scab_Leaf
1,Apple_rust_leaf,Apple___Cedar_apple_rust,Apple_rust_leaf
2,Corn_Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_Gray_leaf_spot
3,Corn_leaf_blight,Corn_(maize)___Northern_Leaf_Blight,Corn_leaf_blight
4,Corn_rust_leaf,Corn_(maize)___Common_rust_,Corn_rust_leaf
5,Potato_leaf_early_blight,Potato___Early_blight,Potato_leaf_early_blight
6,Potato_leaf_late_blight,Potato___Late_blight,Potato_leaf_late_blight
7,Squash_Powdery_mildew_leaf,Squash___Powdery_mildew,Squash_Powdery_mildew_leaf
8,Tomato_Early_blight_leaf,Tomato___Early_blight,Tomato_Early_blight_leaf
9,Tomato_Septoria_leaf_spot,Tomato___Septoria_leaf_spot,Tomato_Septoria_leaf_spot
10,Tomato_leaf_bacterial_spot,Tomato___Bacterial_spot,Tomato_leaf_bacterial_spot
11,Tomato_leaf_late_blight,Tomato___Late_blight,Tomato_leaf_late_blight
12,Tomato_leaf_mosaic_virus,Tomato___Tomato_mosaic_virus,Tomato_leaf_mosaic_virus
13,Tomato_leaf_yellow_virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato_leaf_yellow_virus
14,Tomato_mold_leaf,Tomato___Leaf_Mold,Tomato_mold_leaf
15,grape_leaf_black_rot,Grape___Black_rot,grape_leaf_black_rot
