label_id,canonical_name,pv_name,target_name
0,Apple_Scab_Leaf,Apple___Apple_scab,Apple_Scab_Leaf
1,Apple_rust_leaf,Apple___Cedar_apple_rust,Apple_rust_leaf
2,Bell_pepper_leaf,"Pepper,_bell___healthy",Bell_pepper_leaf
3,Bell_pepper_leaf_spot,"Pepper,_bell___Bacterial_spot",Bell_pepper_leaf_spot
4,Potato_leaf_early_blight,Potato___Early_blight,Potato_leaf_early_blight
5,Potato_leaf_late_blight,Potato___Late_blight,Potato_leaf_late_blight
6,Squash_Powdery_mildew_leaf,Squash___Powdery_mildew,Squash_Powdery_mildew_leaf
7,Tomato_Early_blight_leaf,Tomato___Early_blight,Tomato_Early_blight_leaf
8,Tomato_Septoria_leaf_spot,Tomato___Septoria_leaf_spot,Tomato_Septoria_leaf_spot
9,Tomato_leaf_bacterial_spot,Tomato___Bacterial_spot,Tomato_leaf_bacterial_spot
10,Tomato_leaf_late_blight,Tomato___Late_blight,Tomato_leaf_late_blight
11,Tomato_leaf_mosaic_virus,Tomato___Tomato_mosaic_virus,Tomato_leaf_mosaic_virus
12,Tomato_leaf_yellow_virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato_leaf_yellow_virus
13,Tomato_mold_leaf,Tomato___Leaf_Mold,Tomato_mold_leaf
14,grape_leaf_black_rot,Grape___Black_rot,grape_leaf_black_rot
