architecture,strategy,backend,latency_mean,latency_std,latency_p95,fps,model_load_ms,model_size_mb,cpu_percent,memory_mb,cpu_temp,n_runs,arch_display,params
mobilenetv2,hybrid,cpu,38.371,0.434,39.444,26.06,3.0,2.56,24.3,676.7,44.8,1,MobileNetV2,2.2M
mobilenetv2,hybrid,edgetpu,5.883,0.12,6.022,169.98,3913.09,2.74,2.1,672.8,39.9,1,MobileNetV2,2.2M
mobilenetv2,Fuzzy,cpu,38.444,0.529,39.653,26.01,2.16,2.55,2.8,672.3,41.4,1,MobileNetV2,2.2M
mobilenetv2,Fuzzy,edgetpu,5.819,0.154,6.243,171.85,2662.43,2.72,1.0,669.4,39.4,1,MobileNetV2,2.2M
mobilenetv2,sbert,cpu,38.452,0.651,40.05,26.01,2.18,2.55,3.7,670.0,42.4,1,MobileNetV2,2.2M
mobilenetv2,sbert,edgetpu,5.324,0.61,7.0,187.83,2648.0,2.72,0.7,668.9,39.4,1,MobileNetV2,2.2M
mobilenetv1,hybrid,cpu,29.508,0.577,30.968,33.89,1.43,3.36,3.3,669.1,43.3,1,MobileNetV1,3.2M
mobilenetv1,hybrid,edgetpu,4.63,0.022,4.675,215.98,2677.58,3.44,0.4,669.1,40.9,1,MobileNetV1,3.2M
mobilenetv1,Fuzzy,cpu,29.721,2.208,30.885,33.65,1.43,3.36,4.2,668.9,42.8,1,MobileNetV1,3.2M
mobilenetv1,Fuzzy,edgetpu,5.506,0.166,5.906,181.62,2665.0,3.43,0.8,667.2,40.9,1,MobileNetV1,3.2M
mobilenetv1,sbert,cpu,29.376,0.424,30.511,34.04,1.43,3.36,3.4,667.5,43.8,1,MobileNetV1,3.2M
mobilenetv1,sbert,edgetpu,5.51,0.145,5.852,181.49,2674.3,3.43,0.7,666.7,40.4,1,MobileNetV1,3.2M
efficientnet_lite0,hybrid,cpu,32.403,0.776,34.13,30.86,2.26,3.79,4.1,666.9,43.8,1,EffNet-Lite0,3.5M
efficientnet_lite0,hybrid,edgetpu,6.296,0.038,6.361,158.83,2646.12,4.26,0.3,666.7,41.4,1,EffNet-Lite0,3.5M
efficientnet_lite0,Fuzzy,cpu,32.272,0.487,33.467,30.99,2.35,3.79,3.3,667.5,44.3,1,EffNet-Lite0,3.5M
efficientnet_lite0,Fuzzy,edgetpu,6.291,0.034,6.331,158.96,2648.51,4.24,0.7,667.4,40.9,1,EffNet-Lite0,3.5M
efficientnet_lite0,sbert,cpu,32.35,0.487,33.432,30.91,2.31,3.79,4.3,666.6,44.8,1,EffNet-Lite0,3.5M
efficientnet_lite0,sbert,edgetpu,6.278,0.022,6.318,159.29,2646.58,4.24,0.5,666.5,42.4,1,EffNet-Lite0,3.5M
resnet50,hybrid,cpu,188.861,1.662,191.517,5.29,2.84,23.15,4.5,669.1,49.7,1,ResNet-50,23.5M
resnet50,hybrid,edgetpu,56.04,0.692,56.592,17.84,2666.19,22.83,0.8,663.4,43.8,1,ResNet-50,23.5M
resnet50,Fuzzy,cpu,186.921,1.905,191.176,5.35,3.01,23.15,4.3,664.1,49.7,1,ResNet-50,23.5M
resnet50,Fuzzy,edgetpu,55.426,1.016,56.544,18.04,2708.47,22.8,0.6,664.4,43.8,1,ResNet-50,23.5M
resnet50,sbert,cpu,187.971,1.697,191.599,5.32,2.86,23.14,4.4,664.8,49.7,1,ResNet-50,23.5M
resnet50,sbert,edgetpu,56.219,0.286,56.607,17.79,2701.72,22.8,0.9,664.2,43.8,1,ResNet-50,23.5M
efficientnet,hybrid,cpu,131.069,3.291,134.203,7.63,7.45,11.72,4.2,666.8,46.7,1,EffNet-B3,10.8M
efficientnet,Fuzzy,cpu,129.725,0.931,131.442,7.71,7.48,11.71,4.3,666.6,47.7,1,EffNet-B3,10.8M
efficientnet,sbert,cpu,131.144,1.508,134.789,7.63,7.4,11.71,4.2,667.6,47.2,1,EffNet-B3,10.8M
