strategy,alignment,n_aligned_classes,domain_adaptation,finetune,target_accuracy,target_macro_f1
Fuzzy,Fuzzy,16,none,no,0.21010209564750135,0.1867190277854947
Fuzzy,Fuzzy,16,CORAL,no,0.2369693713057496,0.19112364662567874
Fuzzy,Fuzzy,16,none,yes,0.7936593229446535,0.7697925264415164
Fuzzy,Fuzzy,16,CORAL,yes,0.7936593229446535,0.7697925264415164
hybrid,hybrid,18,none,no,0.191467750126968,0.1555368586480264
hybrid,hybrid,18,CORAL,no,0.21584560690705942,0.18691110253617504
hybrid,hybrid,18,none,yes,0.861858811579482,0.8522512986820643
hybrid,hybrid,18,CORAL,yes,0.861858811579482,0.8522512986820643
sbert,sbert,15,none,no,0.19356833642547927,0.15233803539669558
sbert,sbert,15,CORAL,no,0.23314780457637602,0.1874365138556084
sbert,sbert,15,none,yes,0.6716141001855288,0.6390502924097714
sbert,sbert,15,CORAL,yes,0.6716141001855288,0.6390502924097714
