ablation_type,strategy,n_aligned_classes,parameter,target_accuracy,target_f1_macro,notes
lambda_sweep,Fuzzy,16,λ=0.01,0.23052122514777,0.2019205849313966,
lambda_sweep,Fuzzy,16,λ=0.1,0.2369693713057496,0.1911236466256787,
lambda_sweep,Fuzzy,16,λ=1.0,0.2665233745298226,0.2309663915624791,
lambda_sweep,Fuzzy,16,λ=10.0,0.2332079527135948,0.1944856346006511,
lambda_sweep,hybrid,18,λ=0.01,0.2199085830370746,0.1997107969427281,
lambda_sweep,hybrid,18,λ=0.1,0.2158456069070594,0.186911102536175,
lambda_sweep,hybrid,18,λ=1.0,0.2295581513458608,0.1929112232095825,
lambda_sweep,hybrid,18,λ=10.0,0.2290502793296089,0.1875799001150635,
lambda_sweep,sbert,15,λ=0.01,0.2374768089053803,0.198565848272174,
lambda_sweep,sbert,15,λ=0.1,0.233147804576376,0.1874365138556084,
lambda_sweep,sbert,15,λ=1.0,0.2387136672850958,0.1924304199986462,
lambda_sweep,sbert,15,λ=10.0,0.2368583797155225,0.1935322922648339,
backbone,hybrid,18,resnet50,0.191467750126968,0.1555368586480264,zero-shot
alignment,Fuzzy,16,Fuzzy,0.21010209564750135,0.1867190277854947,ResNet-50
alignment,hybrid,18,hybrid,0.191467750126968,0.1555368586480264,ResNet-50
alignment,sbert,15,sbert,0.19356833642547927,0.15233803539669558,ResNet-50
