,precision,recall,f1-score,support
0,0.9895833333333334,1.0,0.9947643979057592,95.0
1,1.0,1.0,1.0,42.0
2,0.9864864864864865,0.9358974358974359,0.9605263157894737,78.0
3,0.961038961038961,0.9932885906040269,0.976897689768977,149.0
4,1.0,0.9944444444444445,0.9972144846796658,180.0
5,1.0,1.0,1.0,150.0
6,0.9933774834437086,1.0,0.9966777408637874,150.0
7,1.0,1.0,1.0,276.0
8,0.9863945578231292,0.9666666666666667,0.9764309764309764,150.0
9,0.9962546816479401,0.9962546816479401,0.9962546816479401,267.0
10,0.9846153846153847,1.0,0.9922480620155039,320.0
11,0.9964788732394366,0.9860627177700348,0.9912434325744308,287.0
12,1.0,1.0,1.0,57.0
13,1.0,0.9987577639751553,0.9993784959602238,805.0
14,1.0,1.0,1.0,144.0
15,1.0,1.0,1.0,177.0
accuracy,0.9945897204688909,0.9945897204688909,0.9945897204688909,0.9945897204688909
macro avg,0.9933893601017738,0.9919607688128566,0.9926022673522962,3327.0
weighted avg,0.9946448252762503,0.9945897204688909,0.9945753757999882,3327.0
