,precision,recall,f1-score,support
0,1.0,1.0,1.0,95.0
1,1.0,1.0,1.0,42.0
2,1.0,1.0,1.0,223.0
3,1.0,1.0,1.0,151.0
4,0.8690476190476191,0.9358974358974359,0.9012345679012346,78.0
5,0.9586206896551724,0.9328859060402684,0.9455782312925171,149.0
6,1.0,0.9888888888888889,0.994413407821229,180.0
7,1.0,1.0,1.0,150.0
8,1.0,0.9933333333333333,0.9966555183946488,150.0
9,1.0,1.0,1.0,276.0
10,0.9798657718120806,0.9733333333333334,0.9765886287625418,150.0
11,0.9925650557620818,1.0,0.996268656716418,267.0
12,1.0,0.996875,0.9984350547730829,320.0
13,0.986159169550173,0.9930313588850174,0.9895833333333334,287.0
14,0.9827586206896551,1.0,0.991304347826087,57.0
15,0.9987593052109182,1.0,0.9993792675356921,805.0
16,1.0,0.9930555555555556,0.9965156794425087,144.0
17,1.0,0.9887005649717514,0.9943181818181818,177.0
accuracy,0.9924344771683329,0.9924344771683329,0.9924344771683329,0.9924344771683329
macro avg,0.9870986795404278,0.9886667431614214,0.9877930486454153,3701.0
weighted avg,0.9926131036043292,0.9924344771683329,0.9924828662500611,3701.0
