,precision,recall,f1-score,support
0,1.0,1.0,1.0,95.0
1,1.0,1.0,1.0,42.0
2,0.9910714285714286,0.9955156950672646,0.9932885906040269,223.0
3,0.9933774834437086,0.9933774834437086,0.9933774834437086,151.0
4,1.0,1.0,1.0,150.0
5,0.9933774834437086,1.0,0.9966777408637874,150.0
6,1.0,1.0,1.0,276.0
7,0.948051948051948,0.9733333333333334,0.9605263157894737,150.0
8,0.9850187265917603,0.9850187265917603,0.9850187265917603,267.0
9,0.990625,0.990625,0.990625,320.0
10,0.992831541218638,0.9651567944250871,0.9787985865724381,287.0
11,1.0,1.0,1.0,57.0
12,0.9987593052109182,1.0,0.9993792675356921,805.0
13,0.993103448275862,1.0,0.9965397923875432,144.0
14,1.0,1.0,1.0,177.0
accuracy,0.9930176077717061,0.9930176077717061,0.9930176077717061,0.9930176077717061
macro avg,0.9924144243205314,0.993535135524077,0.9929487669192286,3294.0
weighted avg,0.9930704714244198,0.9930176077717061,0.9930179717726214,3294.0
