,precision,recall,f1-score,support
0,1.0,1.0,1.0,95.0
1,1.0,1.0,1.0,42.0
2,0.9736842105263158,0.9487179487179487,0.961038961038961,78.0
3,0.9735099337748344,0.9865771812080537,0.98,149.0
4,1.0,1.0,1.0,180.0
5,0.9933774834437086,1.0,0.9966777408637874,150.0
6,1.0,0.9533333333333334,0.9761092150170648,150.0
7,0.9963898916967509,1.0,0.9981916817359855,276.0
8,0.9607843137254902,0.98,0.9702970297029703,150.0
9,0.9888059701492538,0.9925093632958801,0.9906542056074766,267.0
10,0.9937106918238994,0.9875,0.9905956112852664,320.0
11,0.9689655172413794,0.9790940766550522,0.9740034662045061,287.0
12,0.9827586206896551,1.0,0.991304347826087,57.0
13,1.0,0.9987577639751553,0.9993784959602238,805.0
14,0.9861111111111112,0.9861111111111112,0.9861111111111112,144.0
15,1.0,1.0,1.0,177.0
accuracy,0.9906822963630899,0.9906822963630899,0.9906822963630899,0.9906822963630899
macro avg,0.9886311090113998,0.9882875486435334,0.98839761664709,3327.0
weighted avg,0.990753588361368,0.9906822963630899,0.9906771389663318,3327.0
