,precision,recall,f1-score,support
0,1.0,1.0,1.0,95.0
1,1.0,1.0,1.0,42.0
2,1.0,1.0,1.0,223.0
3,0.9933774834437086,0.9933774834437086,0.9933774834437086,151.0
4,0.9012345679012346,0.9358974358974359,0.9182389937106918,78.0
5,0.9463087248322147,0.9463087248322147,0.9463087248322147,149.0
6,0.9943820224719101,0.9833333333333333,0.9888268156424581,180.0
7,1.0,1.0,1.0,150.0
8,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
9,1.0,1.0,1.0,276.0
10,0.9793103448275862,0.9466666666666667,0.9627118644067797,150.0
11,0.9925093632958801,0.9925093632958801,0.9925093632958801,267.0
12,0.9936908517350158,0.984375,0.989010989010989,320.0
13,0.9789473684210527,0.9721254355400697,0.9755244755244755,287.0
14,0.9655172413793104,0.9824561403508771,0.9739130434782609,57.0
15,0.990159901599016,1.0,0.9950556242274413,805.0
16,0.993103448275862,1.0,0.9965397923875432,144.0
17,1.0,0.9943502824858758,0.9971671388101983,177.0
accuracy,0.9883815185085112,0.9883815185085112,0.9883815185085112,0.9883815185085112
macro avg,0.9845485917508958,0.9847073999544109,0.9845843134502208,3701.0
weighted avg,0.9884465494339308,0.9883815185085112,0.9883843349364217,3701.0
