,precision,recall,f1-score,support
0,1.0,1.0,1.0,95.0
1,1.0,1.0,1.0,42.0
2,1.0,0.9955156950672646,0.9977528089887641,223.0
3,0.9932885906040269,0.9801324503311258,0.9866666666666667,151.0
4,0.9868421052631579,1.0,0.9933774834437086,150.0
5,0.9932885906040269,0.9866666666666667,0.9899665551839465,150.0
6,1.0,0.9963768115942029,0.9981851179673321,276.0
7,0.9591836734693877,0.94,0.9494949494949495,150.0
8,0.9770992366412213,0.9588014981273408,0.9678638941398866,267.0
9,0.9696048632218845,0.996875,0.9830508474576272,320.0
10,0.9894736842105263,0.9825783972125436,0.986013986013986,287.0
11,1.0,0.9824561403508771,0.9911504424778761,57.0
12,0.9925925925925926,0.9987577639751553,0.9956656346749226,805.0
13,0.9930555555555556,0.9930555555555556,0.9930555555555556,144.0
14,1.0,1.0,1.0,177.0
accuracy,0.9890710382513661,0.9890710382513661,0.9890710382513661,0.9890710382513661
macro avg,0.9902952594774919,0.9874143985920488,0.9888162628043481,3294.0
weighted avg,0.9890888795996846,0.9890710382513661,0.9890403278357291,3294.0
