,precision,recall,f1-score,support
0,1.0,0.9894736842105263,0.9947089947089947,95.0
1,1.0,0.9761904761904762,0.9879518072289156,42.0
2,0.9529914529914529,1.0,0.975929978118162,223.0
3,1.0,0.9470198675496688,0.9727891156462585,151.0
4,0.9738562091503268,0.9933333333333333,0.9834983498349835,150.0
5,0.9426751592356688,0.9866666666666667,0.9641693811074918,150.0
6,0.989247311827957,1.0,0.9945945945945946,276.0
7,0.9155844155844156,0.94,0.9276315789473685,150.0
8,0.9801587301587301,0.9250936329588015,0.9518304431599229,267.0
9,0.9571865443425076,0.978125,0.9675425038639877,320.0
10,0.9748201438848921,0.9442508710801394,0.95929203539823,287.0
11,0.9821428571428571,0.9649122807017544,0.9734513274336283,57.0
12,0.996268656716418,0.9950310559006211,0.9956494717215661,805.0
13,0.9794520547945206,0.9930555555555556,0.9862068965517241,144.0
14,1.0,0.9943502824858758,0.9971671388101983,177.0
accuracy,0.9778384942319368,0.9778384942319368,0.9778384942319368,0.9778384942319368
macro avg,0.9762922357219832,0.9751668471088948,0.9754942411417351,3294.0
weighted avg,0.9781911607523951,0.9778384942319368,0.9778032627101966,3294.0
