experiment_id,experiment_name,model_name,device_name,backend,batch_size,num_threads,benchmark_runs,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,throughput_fps,cold_start_model_load_ms,cold_start_first_inference_ms,cpu_percent_mean,cpu_percent_max,memory_mb_mean,cpu_temp_celsius,tpu_detected,timestamp
exp_20260208_141602_1c59,efficientnet_int8_ptq_sbert.tflite_cpu,efficientnet_int8_ptq_sbert.tflite,raspberrypi,cpu,1,4,100,130.165,1.484,129.5,132.406,133.737,135.019,7.68,7.76,135.64,7.9,90.3,655.7,49.2,True,2026-02-08T14:16:19.458427
exp_20260208_141544_d8a4,efficientnet_int8_ptq_Fuzzy.tflite_cpu,efficientnet_int8_ptq_Fuzzy.tflite,raspberrypi,cpu,1,4,100,130.294,1.118,129.875,132.118,132.736,134.331,7.67,7.55,130.89,6.4,90.6,653.5,48.7,True,2026-02-08T14:16:01.364605
exp_20260208_141525_b9b1,efficientnet_int8_ptq_hybrid.tflite_cpu,efficientnet_int8_ptq_hybrid.tflite,raspberrypi,cpu,1,4,100,130.392,2.635,129.542,132.327,133.205,136.182,7.67,7.49,130.7,8.0,89.0,653.7,48.7,True,2026-02-08T14:15:43.310904
exp_20260208_141513_fb7c,resnet50_int8_ptq_sbert_edgetpu.tflite_edgetpu,resnet50_int8_ptq_sbert_edgetpu.tflite,raspberrypi,edgetpu,1,4,100,54.689,0.977,54.113,56.363,56.503,56.857,18.29,2689.25,80.33,0.6,4.5,653.1,43.3,True,2026-02-08T14:15:25.095956
exp_20260208_141446_857b,resnet50_int8_ptq_sbert.tflite_cpu,resnet50_int8_ptq_sbert.tflite,raspberrypi,cpu,1,4,100,186.116,1.406,185.661,188.412,188.83,189.903,5.37,2.86,188.98,8.1,91.9,653.6,49.2,True,2026-02-08T14:15:10.958929
exp_20260208_141434_6516,resnet50_int8_ptq_Fuzzy_edgetpu.tflite_edgetpu,resnet50_int8_ptq_Fuzzy_edgetpu.tflite,raspberrypi,edgetpu,1,4,100,54.755,1.017,54.143,56.48,56.558,57.222,18.26,2693.38,79.31,0.6,4.7,652.6,42.8,True,2026-02-08T14:14:45.989599
exp_20260208_141407_0859,resnet50_int8_ptq_Fuzzy.tflite_cpu,resnet50_int8_ptq_Fuzzy.tflite,raspberrypi,cpu,1,4,100,187.608,1.815,186.795,190.713,191.25,192.315,5.33,2.9,185.76,8.3,92.5,653.4,49.2,True,2026-02-08T14:14:32.016772
exp_20260208_141355_d099,resnet50_int8_ptq_hybrid_edgetpu.tflite_edgetpu,resnet50_int8_ptq_hybrid_edgetpu.tflite,raspberrypi,edgetpu,1,4,100,56.189,0.337,56.019,56.589,56.879,57.191,17.8,2689.65,78.69,1.2,5.6,653.5,42.4,True,2026-02-08T14:14:07.049154
exp_20260208_141328_594c,resnet50_int8_ptq_hybrid.tflite_cpu,resnet50_int8_ptq_hybrid.tflite,raspberrypi,cpu,1,4,100,186.839,1.192,186.307,188.682,189.036,189.674,5.35,2.94,186.26,8.2,92.2,654.3,48.7,True,2026-02-08T14:13:52.797192
exp_20260208_141322_4cbc,efficientnet_lite0_int8_ptq_sbert_edgetpu.tflite_edgetpu,efficientnet_lite0_int8_ptq_sbert_edgetpu.tflite,raspberrypi,edgetpu,1,4,100,6.878,0.704,6.385,8.302,8.38,8.443,145.39,2646.67,19.51,0.5,2.4,654.8,41.9,True,2026-02-08T14:13:27.738383
exp_20260208_141316_f8e0,efficientnet_lite0_int8_ptq_sbert.tflite_cpu,efficientnet_lite0_int8_ptq_sbert.tflite,raspberrypi,cpu,1,4,100,32.19,0.543,32.008,32.621,33.499,34.125,31.07,2.27,32.88,5.4,76.6,657.8,44.3,True,2026-02-08T14:13:22.015604
exp_20260208_141310_8bd3,efficientnet_lite0_int8_ptq_Fuzzy_edgetpu.tflite_edgetpu,efficientnet_lite0_int8_ptq_Fuzzy_edgetpu.tflite,raspberrypi,edgetpu,1,4,100,7.276,0.043,7.284,7.314,7.331,7.349,137.44,2666.99,20.39,0.8,2.7,658.2,41.4,True,2026-02-08T14:13:15.737194
exp_20260208_141304_eab0,efficientnet_lite0_int8_ptq_Fuzzy.tflite_cpu,efficientnet_lite0_int8_ptq_Fuzzy.tflite,raspberrypi,cpu,1,4,100,32.615,0.804,32.219,33.977,34.409,35.321,30.66,2.36,32.88,5.2,76.1,659.0,43.8,True,2026-02-08T14:13:09.981000
exp_20260208_141258_0f38,efficientnet_lite0_int8_ptq_hybrid_edgetpu.tflite_edgetpu,efficientnet_lite0_int8_ptq_hybrid_edgetpu.tflite,raspberrypi,edgetpu,1,4,100,7.295,0.512,7.275,8.356,8.408,8.541,137.08,2647.78,19.5,2.6,26.8,658.7,41.9,True,2026-02-08T14:13:03.553018
