experiment_id,experiment_name,model_name,architecture,strategy,backend,device_name,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,fps,model_load_ms,first_inference_ms,cpu_percent_mean,cpu_percent_max,memory_mb_mean,cpu_temp_celsius,model_size_bytes,model_size_mb,quantization,hostname,tpu_detected,benchmark_runs,warmup_runs,num_threads,duration_seconds,timestamp
exp_20260208_135317_9087,eccv_efficientnet_Fuzzy_cpu,efficientnet_int8_ptq_Fuzzy.tflite,efficientnet,Fuzzy,cpu,raspberrypi,129.725,0.931,128.643,133.61,129.351,131.058,131.442,133.124,7.71,7.48,130.91,4.3,95.4,666.6,47.7,12282888,11.71,int8,raspberrypi,True,200,20,4,31.69,2026-02-08T13:57:01.609945
exp_20260208_135317_9b85,eccv_efficientnet_hybrid_cpu,efficientnet_int8_ptq_hybrid.tflite,efficientnet,hybrid,cpu,raspberrypi,131.069,3.291,129.523,173.313,130.282,132.99,134.203,135.852,7.63,7.45,131.04,4.2,95.1,666.8,46.7,12286016,11.72,int8,raspberrypi,True,200,20,4,31.97,2026-02-08T13:56:29.876567
exp_20260208_135317_e590,eccv_efficientnet_sbert_cpu,efficientnet_int8_ptq_sbert.tflite,efficientnet,sbert,cpu,raspberrypi,131.144,1.508,129.761,136.686,130.508,133.791,134.789,135.921,7.63,7.4,135.14,4.2,95.3,667.6,47.2,12281312,11.71,int8,raspberrypi,True,200,20,4,32.04,2026-02-08T13:57:33.691282
exp_20260208_135317_67c5,eccv_efficientnet_lite0_Fuzzy_cpu,efficientnet_lite0_int8_ptq_Fuzzy.tflite,efficientnet_lite0,Fuzzy,cpu,raspberrypi,32.272,0.487,31.846,35.373,32.102,32.95,33.467,33.899,30.99,2.35,33.1,3.3,94.0,667.5,44.3,3970872,3.79,int8,raspberrypi,True,200,20,4,10.24,2026-02-08T13:55:33.106111
exp_20260208_135317_a421,eccv_efficientnet_lite0_Fuzzy_edgetpu,efficientnet_lite0_int8_ptq_Fuzzy_edgetpu.tflite,efficientnet_lite0,Fuzzy,edgetpu,raspberrypi,6.291,0.034,6.252,6.57,6.286,6.318,6.331,6.436,158.96,2648.51,19.56,0.7,2.7,667.4,40.9,4444768,4.24,int8,raspberrypi,True,200,20,4,7.18,2026-02-08T13:55:40.330235
exp_20260208_135317_2230,eccv_efficientnet_lite0_hybrid_cpu,efficientnet_lite0_int8_ptq_hybrid.tflite,efficientnet_lite0,hybrid,cpu,raspberrypi,32.403,0.776,31.87,38.338,32.127,33.126,34.13,35.117,30.86,2.26,33.33,4.1,94.1,666.9,43.8,3973488,3.79,int8,raspberrypi,True,200,20,4,10.26,2026-02-08T13:55:15.588644
exp_20260208_135317_4a9a,eccv_efficientnet_lite0_hybrid_edgetpu,efficientnet_lite0_int8_ptq_hybrid_edgetpu.tflite,efficientnet_lite0,hybrid,edgetpu,raspberrypi,6.296,0.038,6.245,6.546,6.289,6.329,6.361,6.471,158.83,2646.12,19.55,0.3,2.9,666.7,41.4,4465248,4.26,int8,raspberrypi,True,200,20,4,7.18,2026-02-08T13:55:22.816008
exp_20260208_135317_5993,eccv_efficientnet_lite0_sbert_cpu,efficientnet_lite0_int8_ptq_sbert.tflite,efficientnet_lite0,sbert,cpu,raspberrypi,32.35,0.487,31.892,36.121,32.209,32.779,33.432,33.979,30.91,2.31,32.91,4.3,93.9,666.6,44.8,3969552,3.79,int8,raspberrypi,True,200,20,4,10.25,2026-02-08T13:55:50.635340
exp_20260208_135317_2d14,eccv_efficientnet_lite0_sbert_edgetpu,efficientnet_lite0_int8_ptq_sbert_edgetpu.tflite,efficientnet_lite0,sbert,edgetpu,raspberrypi,6.278,0.022,6.243,6.349,6.275,6.308,6.318,6.335,159.29,2646.58,19.56,0.5,4.9,666.5,42.4,4444768,4.24,int8,raspberrypi,True,200,20,4,7.17,2026-02-08T13:55:57.851746
exp_20260208_135317_5647,eccv_mobilenetv1_Fuzzy_cpu,mobilenetv1_int8_ptq_Fuzzy.tflite,mobilenetv1,Fuzzy,cpu,raspberrypi,29.721,2.208,29.079,56.05,29.318,29.894,30.885,39.756,33.65,1.43,30.34,4.2,95.5,668.9,42.8,3525960,3.36,int8,raspberrypi,True,200,20,4,9.6,2026-02-08T13:54:41.544191
