Strategy,Lambda,PV Acc,PV F1,Target Acc,Target F1,Delta F1
Fuzzy,0.01,0.974,0.973,0.231,0.202,0.771
Fuzzy,0.1,0.961,0.945,0.237,0.191,0.754
Fuzzy,1.0,0.975,0.972,0.267,0.231,0.741
Fuzzy,10.0,0.970,0.963,0.233,0.194,0.768
hybrid,0.01,0.955,0.948,0.220,0.200,0.748
hybrid,0.1,0.951,0.943,0.216,0.187,0.756
hybrid,1.0,0.967,0.960,0.230,0.193,0.767
hybrid,10.0,0.961,0.956,0.229,0.188,0.768
sbert,0.01,0.963,0.962,0.237,0.199,0.764
sbert,0.1,0.965,0.965,0.233,0.187,0.777
sbert,1.0,0.961,0.952,0.239,0.192,0.760
sbert,10.0,0.962,0.954,0.237,0.194,0.761
