arch,split,variant,f1,acc,d_f1,agree,n
ResNet-50,PlantVillage test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.9684685681494815,0.9705485004052958,-0.0051294993006786305,0.9856795460686301,3701
ResNet-50,PlantVillage test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.9735980674501601,0.9773034315049987,0.0,1.0,3701
ResNet-50,PlantVillage test,legacy Keras-rebuild INT8 (2026-02-08 file),0.9462534447256523,0.9556876519859497,-0.027344622724507772,0.9632531748176169,3701
ResNet-50,PlantVillage test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.9462534447256523,0.9556876519859497,-0.027344622724507772,0.9632531748176169,3701
ResNet-50,PlantVillage test,onnx2tf float32,0.9735980674501601,0.9773034315049987,0.0,1.0,3701
ResNet-50,PlantVillage test,onnx2tf INT8 full-integer,0.9713579557249461,0.97568224804107,-0.002240111725213989,0.9970278303161307,3701
ResNet-50,PlantDoc test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.15386752184399693,0.20365667851701372,0.005680086285919844,0.8044692737430168,1969
ResNet-50,PlantDoc test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.1481874355580771,0.2011173184357542,0.0,1.0,1969
ResNet-50,PlantDoc test,legacy Keras-rebuild INT8 (2026-02-08 file),0.12823932544343386,0.18486541391569325,-0.01994811011464323,0.6074149314372778,1969
ResNet-50,PlantDoc test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.1284258500813379,0.18537328593194516,-0.019761585476739202,0.6069070594210259,1969
ResNet-50,PlantDoc test,onnx2tf float32,0.148189313420578,0.2011173184357542,1.8778625009152616e-06,0.9994921279837481,1969
ResNet-50,PlantDoc test,onnx2tf INT8 full-integer,0.1493101350332241,0.202133062468258,0.0011226994751470099,0.9649568308786186,1969
MobileNetV1,PlantVillage test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.9906964391183872,0.9935152661442853,0.0017472491159911119,0.9978384220480951,3701
MobileNetV1,PlantVillage test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.9889491900023961,0.9924344771683329,0.0,1.0,3701
MobileNetV1,PlantVillage test,legacy Keras-rebuild INT8 (2026-02-08 file),0.10194268732989309,0.17751958930018913,-0.887006502672503,0.17805998378816537,3701
MobileNetV1,PlantVillage test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.004300144300144301,0.040259389354228584,-0.9846490457022519,0.04106998108619292,3701
MobileNetV1,PlantVillage test,onnx2tf float32,0.9889491900023961,0.9924344771683329,0.0,1.0,3701
MobileNetV1,PlantVillage test,onnx2tf INT8 full-integer,0.9887469451833629,0.9916238854363686,-0.0002022448190331927,0.9981086192920832,3701
MobileNetV1,PlantDoc test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.12695694926835283,0.17420010157440324,0.0025116037274827974,0.8781107160995429,1969
MobileNetV1,PlantDoc test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.12444534554087003,0.17420010157440324,0.0,1.0,1969
MobileNetV1,PlantDoc test,legacy Keras-rebuild INT8 (2026-02-08 file),0.028756832027850305,0.10005078720162519,-0.09568851351301973,0.372270187912646,1969
MobileNetV1,PlantDoc test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.009354005167958656,0.09192483494159472,-0.11509134037291137,0.12899949212798376,1969
MobileNetV1,PlantDoc test,onnx2tf float32,0.12444534554087003,0.17420010157440324,0.0,1.0,1969
MobileNetV1,PlantDoc test,onnx2tf INT8 full-integer,0.1218105234762592,0.1686135093956323,-0.0026348220646108256,0.9228034535297105,1969
MobileNetV2,PlantVillage test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.9832964164243051,0.9867603350445825,0.00733346444111993,0.9891921102404756,3701
MobileNetV2,PlantVillage test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.9759629519831852,0.9800054039448798,0.0,1.0,3701
MobileNetV2,PlantVillage test,legacy Keras-rebuild INT8 (2026-02-08 file),0.004300144300144301,0.040259389354228584,-0.9716628076830409,0.038368008646311805,3701
MobileNetV2,PlantVillage test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.004300144300144301,0.040259389354228584,-0.9716628076830409,0.038368008646311805,3701
MobileNetV2,PlantVillage test,onnx2tf float32,0.9759629519831852,0.9800054039448798,0.0,1.0,3701
MobileNetV2,PlantVillage test,onnx2tf INT8 full-integer,0.9761793498798325,0.9800054039448798,0.00021639789664729125,0.9978384220480951,3701
MobileNetV2,PlantDoc test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.14284958868231812,0.16556627729812087,0.008431863263483913,0.8395124428643982,1969
MobileNetV2,PlantDoc test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.1344177254188342,0.16099542915185372,0.0,1.0,1969
MobileNetV2,PlantDoc test,legacy Keras-rebuild INT8 (2026-02-08 file),0.009401312051242316,0.09243270695784662,-0.1250164133675919,0.06399187404773997,1969
MobileNetV2,PlantDoc test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.009401312051242316,0.09243270695784662,-0.1250164133675919,0.06399187404773997,1969
MobileNetV2,PlantDoc test,onnx2tf float32,0.13444881956955015,0.16099542915185372,3.109415071594901e-05,0.9994921279837481,1969
MobileNetV2,PlantDoc test,onnx2tf INT8 full-integer,0.14225188905952957,0.1686135093956323,0.007834163640695363,0.9238191975622143,1969
EfficientNet-Lite0,PlantVillage test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.9854929261078169,0.9900027019724399,0.003055980445881734,0.9924344771683329,3701
EfficientNet-Lite0,PlantVillage test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.9824369456619352,0.987841124020535,0.0,1.0,3701
EfficientNet-Lite0,PlantVillage test,legacy Keras-rebuild INT8 (2026-02-08 file),0.9900118281242316,0.9932450689002972,0.007574882462296428,0.9875709267765469,3701
EfficientNet-Lite0,PlantVillage test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.9815287858454642,0.9867603350445825,-0.0009081598164709659,0.9959470413401783,3701
EfficientNet-Lite0,PlantDoc test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.22320287772918113,0.27932960893854747,0.010966325389042936,0.8329101066531234,1969
EfficientNet-Lite0,PlantDoc test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.2122365523401382,0.2656170644997461,0.0,1.0,1969
EfficientNet-Lite0,PlantDoc test,legacy Keras-rebuild INT8 (2026-02-08 file),0.19534067273732797,0.23768410360589132,-0.01689587960281022,0.4489588623666836,1969
EfficientNet-Lite0,PlantDoc test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.20534046723822955,0.2574911122397156,-0.006896085101908644,0.9283900457084815,1969
EfficientNet-B3,PlantVillage test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.9850333229874063,0.990543096460416,0.001294027436105849,0.9972980275601189,3701
EfficientNet-B3,PlantVillage test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.9837392955513005,0.9897325047284518,0.0,1.0,3701
EfficientNet-B3,PlantVillage test,legacy Keras-rebuild INT8 (2026-02-08 file),0.007996210854786582,0.07754660902458795,-0.9757430846965138,0.07673601729262361,3701
EfficientNet-B3,PlantVillage test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.007996210854786582,0.07754660902458795,-0.9757430846965138,0.07673601729262361,3701
EfficientNet-B3,PlantVillage test,onnx2tf float32,0.9837392955513005,0.9897325047284518,0.0,1.0,3701
EfficientNet-B3,PlantVillage test,onnx2tf INT8 full-integer,0.9582360292922409,0.9675763307214267,-0.02550326625905952,0.9727100783572008,3701
EfficientNet-B3,PlantDoc test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.2553152249705522,0.28796343321482987,0.0001686189909260727,0.8923311325545963,1969
EfficientNet-B3,PlantDoc test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.25514660597962613,0.2889791772473337,0.0,1.0,1969
EfficientNet-B3,PlantDoc test,legacy Keras-rebuild INT8 (2026-02-08 file),0.005421363392377885,0.051295073641442354,-0.24972524258724824,0.05485017775520569,1969
EfficientNet-B3,PlantDoc test,"Keras-rebuild INT8, current checkpoint (10.x scripts)",0.005421363392377885,0.051295073641442354,-0.24972524258724824,0.05485017775520569,1969
EfficientNet-B3,PlantDoc test,onnx2tf float32,0.25512245612019513,0.2889791772473337,-2.4149859430999676e-05,0.9994921279837481,1969
EfficientNet-B3,PlantDoc test,onnx2tf INT8 full-integer,0.14555582591694685,0.18232605383443373,-0.10959078006267928,0.4337227018791265,1969
ResNet-50 DANN seed 42,PlantVillage test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.9465118333132119,0.9502837071061875,-0.014547135602879901,0.9797352067008916,3701
ResNet-50 DANN seed 42,PlantVillage test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.9610589689160918,0.965955147257498,0.0,1.0,3701
ResNet-50 DANN seed 42,PlantVillage test,"Keras-rebuild INT8 (10.4 path via 14.3, 2026-09-12)",0.7863701423221411,0.8289651445555255,-0.17468882659395069,0.8451769791948122,3701
ResNet-50 DANN seed 42,PlantVillage test,onnx2tf float32,0.9610589689160918,0.965955147257498,0.0,1.0,3701
ResNet-50 DANN seed 42,PlantVillage test,onnx2tf INT8 full-integer,0.9599921020028351,0.9651445555255337,-0.0010668669132566366,0.9970278303161307,3701
ResNet-50 DANN seed 42,PlantDoc test,"PyTorch FP32, torchvision Resize (canonical eval transform)",0.24016457986785655,0.28339258506856274,-0.008556420985986024,0.8613509395632301,1969
ResNet-50 DANN seed 42,PlantDoc test,"PyTorch FP32, PIL preprocessing (reference for TFLite rows)",0.24872100085384258,0.2920264093448451,0.0,1.0,1969
ResNet-50 DANN seed 42,PlantDoc test,"Keras-rebuild INT8 (10.4 path via 14.3, 2026-09-12)",0.183970078021206,0.24581005586592178,-0.06475092283263659,0.5830370746571863,1969
ResNet-50 DANN seed 42,PlantDoc test,onnx2tf float32,0.24869050401869983,0.2920264093448451,-3.0496835142751477e-05,0.9994921279837481,1969
ResNet-50 DANN seed 42,PlantDoc test,onnx2tf INT8 full-integer,0.2467794634456607,0.2920264093448451,-0.0019415374081818704,0.9669883189436262,1969
