experiment_id,source_dataset,target_dataset,class_space,method,backbone,seed,split,metric,value,source_file,checkpoint,verified,notes
T1_Fuzzy,PlantVillage,PlantDoc,Fuzzy(16),source-only,ResNet-50,42,test,target_macro_f1,0.187,results/T1_domain_shift.csv,models/resnet50_pv_Fuzzy_best.pt,YES,
T1_Hybrid,PlantVillage,PlantDoc,Hybrid(18),source-only,ResNet-50,42,test,target_macro_f1,0.156,results/T1_domain_shift.csv,models/resnet50_pv_hybrid_best.pt,YES,
T1_SBERT,PlantVillage,PlantDoc,SBERT(15),source-only,ResNet-50,42,test,target_macro_f1,0.152,results/T1_domain_shift.csv,models/resnet50_pv_sbert_best.pt,YES,
T1_Fuzzy,PlantVillage,PlantDoc,Fuzzy(16),source-only,ResNet-50,42,test,target_accuracy,0.210,results/T1_domain_shift.csv,models/resnet50_pv_Fuzzy_best.pt,YES,
T1_Hybrid,PlantVillage,PlantDoc,Hybrid(18),source-only,ResNet-50,42,test,target_accuracy,0.191,results/T1_domain_shift.csv,models/resnet50_pv_hybrid_best.pt,YES,
T1_SBERT,PlantVillage,PlantDoc,SBERT(15),source-only,ResNet-50,42,test,target_accuracy,0.194,results/T1_domain_shift.csv,models/resnet50_pv_sbert_best.pt,YES,
SRC_Fuzzy,PlantVillage,PlantVillage,Fuzzy(16),source-only,ResNet-50,42,test,pv_macro_f1,0.977,results/resnet50_pv_metrics_Fuzzy.json,models/resnet50_pv_Fuzzy_best.pt,YES,
SRC_Hybrid,PlantVillage,PlantVillage,Hybrid(18),source-only,ResNet-50,42,test,pv_macro_f1,0.956,results/resnet50_pv_metrics_hybrid.json,models/resnet50_pv_hybrid_best.pt,YES,
SRC_SBERT,PlantVillage,PlantVillage,SBERT(15),source-only,ResNet-50,42,test,pv_macro_f1,0.975,results/resnet50_pv_metrics_sbert.json,models/resnet50_pv_sbert_best.pt,YES,
CORAL_F_001,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,42,test,target_macro_f1,0.202,results/T2_coral_sweep_Fuzzy.csv,models/resnet50_coral_lambda_0.01_Fuzzy.pt,YES,lambda=0.01
CORAL_F_01,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,42,test,target_macro_f1,0.191,results/T2_coral_sweep_Fuzzy.csv,models/resnet50_coral_lambda_0.1_Fuzzy.pt,YES,lambda=0.1
CORAL_F_10,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,42,test,target_macro_f1,0.231,results/T2_coral_sweep_Fuzzy.csv,models/resnet50_coral_lambda_1.0_Fuzzy.pt,YES,lambda=1.0 (BEST for Fuzzy)
CORAL_F_100,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,42,test,target_macro_f1,0.194,results/T2_coral_sweep_Fuzzy.csv,models/resnet50_coral_lambda_10.0_Fuzzy.pt,YES,lambda=10.0
CORAL_H_001,PlantVillage,PlantDoc,Hybrid(18),CORAL,ResNet-50,42,test,target_macro_f1,0.200,results/T2_coral_sweep_hybrid.csv,models/resnet50_coral_lambda_0.01_hybrid.pt,YES,lambda=0.01 (BEST for Hybrid)
CORAL_H_01,PlantVillage,PlantDoc,Hybrid(18),CORAL,ResNet-50,42,test,target_macro_f1,0.187,results/T2_coral_sweep_hybrid.csv,models/resnet50_coral_lambda_0.1_hybrid.pt,YES,lambda=0.1
