path,label_id
data/shared_subset/Fuzzy/pv/Tomato_leaf_late_blight/9ec6c8fd-4dfe-4dc6-bc1f-72488053da67___GHLB Leaf 2.4 Day 12_final_masked.jpg,11
data/shared_subset/Fuzzy/pv/Tomato_leaf_late_blight/e1501757-3235-4051-b460-52c0f6e45add___RS_Late.B 4910_final_masked.jpg,11
data/shared_subset/Fuzzy/pv/Tomato_mold_leaf/fe52f026-be65-43bf-823e-d5fc9a9b0340___Crnl_L.Mold 6774_final_masked.jpg,14
data/shared_subset/Fuzzy/pv/Potato_leaf_early_blight/3db185d7-7c05-42f9-b508-7a3883e50660___RS_Early.B 7011_final_masked.jpg,5
data/shared_subset/Fuzzy/pv/Corn_leaf_blight/e863323a-5d81-42c8-8503-dbdb00452e59___RS_NLB 3554_final_masked.jpg,3
data/shared_subset/Fuzzy/pv/Corn_rust_leaf/27a640fd-79a4-4b23-b6e0-56acc5ab67e9___RS_Rust 1964_final_masked.jpg,4
data/shared_subset/Fuzzy/pv/Apple_rust_leaf/8a2c7dda-c639-47f2-8f10-3bd33d24a08e___FREC_C.Rust 3929_final_masked.jpg,1
data/shared_subset/Fuzzy/pv/Tomato_leaf_late_blight/57e8eac3-bf54-463c-a3d7-6ef04ae0a8dc___GHLB2 Leaf 124.3_final_masked.jpg,11
data/shared_subset/Fuzzy/pv/Tomato_mold_leaf/13287ee6-523d-4cc9-b537-6df918dae5a2___Crnl_L.Mold 6528_final_masked.jpg,14
data/shared_subset/Fuzzy/pv/Tomato_leaf_yellow_virus/d708a0ae-b955-445f-9fd0-a4ca842cae1b___YLCV_NREC 2533_final_masked.jpg,13
data/shared_subset/Fuzzy/pv/Corn_Gray_leaf_spot/3b9cce3e-5b77-444d-957d-71e3a105d66e___RS_GLSp 7289_final_masked.jpg,2
data/shared_subset/Fuzzy/pv/Tomato_leaf_yellow_virus/7a8c7fa6-1dee-478c-a395-4c15ff82f44c___UF.GRC_YLCV_Lab 02783_final_masked.jpg,13
data/shared_subset/Fuzzy/pv/Corn_Gray_leaf_spot/c1662485-4a2d-40d0-94f4-7642bdf8dfdb___RS_GLSp 4410_final_masked.jpg,2
data/shared_subset/Fuzzy/pv/Tomato_leaf_bacterial_spot/afd78d63-13b3-400f-8e9a-1c87f27fa12f___UF.GRC_BS_Lab Leaf 0239_final_masked.jpg,10
data/shared_subset/Fuzzy/pv/Tomato_leaf_bacterial_spot/c8460f59-b097-4d67-9832-1db6e2334459___UF.GRC_BS_Lab Leaf 0360_final_masked.jpg,10
data/shared_subset/Fuzzy/pv/Apple_rust_leaf/39c00da9-396e-4bd3-8e4a-f701c11d4fa7___FREC_C.Rust 3907_final_masked.jpg,1
data/shared_subset/Fuzzy/pv/Tomato_leaf_bacterial_spot/eb36b979-d626-4f44-b6fe-0d4eec0f3081___UF.GRC_BS_Lab Leaf 0593_final_masked.jpg,10
data/shared_subset/Fuzzy/pv/Tomato_leaf_yellow_virus/ff46311d-9868-4313-8834-eaf2f3259b27___UF.GRC_YLCV_Lab 02625_final_masked.jpg,13
data/shared_subset/Fuzzy/pv/Tomato_leaf_bacterial_spot/2300bcf2-b682-4be7-a101-e4517c15a32b___GCREC_Bact.Sp 2980_final_masked.jpg,10
data/shared_subset/Fuzzy/pv/Squash_Powdery_mildew_leaf/0c4ba708-c14e-40ee-81a0-db067b2fa2ff___UMD_Powd.M 0017_final_masked.jpg,7
data/shared_subset/Fuzzy/pv/Squash_Powdery_mildew_leaf/91be67d1-c5c8-4e6e-84dd-ebca2937dfaa___UMD_Powd.M 0309_final_masked.jpg,7
data/shared_subset/Fuzzy/pv/Corn_rust_leaf/6b385016-00c6-439d-a0ff-44e63b21d93b___RS_Rust 1831_final_masked.jpg,4
data/shared_subset/Fuzzy/pv/Apple_Scab_Leaf/98e6e72f-092d-41dc-93e1-22bfc1ea2abd___FREC_Scab 2953_final_masked.jpg,0
data/shared_subset/Fuzzy/pv/Tomato_Early_blight_leaf/8f92a1b1-c99e-48b4-8cd2-d0bd09bc6a6b___RS_Erly.B 9479_final_masked.jpg,8
data/shared_subset/Fuzzy/pv/Corn_rust_leaf/e6878638-aac4-443d-9a82-75de519ef5fd___RS_Rust 1847_final_masked.jpg,4
data/shared_subset/Fuzzy/pv/Apple_Scab_Leaf/1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370_final_masked.jpg,0
data/shared_subset/Fuzzy/pv/Corn_Gray_leaf_spot/6b4ebda6-c3d3-4d7e-b38e-cf948ec16dd2___RS_GLSp 9326_final_masked.jpg,2
data/shared_subset/Fuzzy/pv/grape_leaf_black_rot/61c865cc-fecf-437d-aa7d-e1d836723f62___FAM_B.Rot 3040_final_masked.jpg,15
data/shared_subset/Fuzzy/pv/grape_leaf_black_rot/3cf73c3d-e012-40dd-b93e-3b3540c0d6c6___FAM_B.Rot 0741_final_masked.jpg,15
data/shared_subset/Fuzzy/pv/Tomato_leaf_yellow_virus/391fefc0-b1ba-44c5-a1a7-c77464669c16___UF.GRC_YLCV_Lab 01973_final_masked.jpg,13
data/shared_subset/Fuzzy/pv/Tomato_Early_blight_leaf/493f53cc-b8d5-4c71-9446-30f0365f1e4b___RS_Erly.B 7583_final_masked.jpg,8
data/shared_subset/Fuzzy/pv/Tomato_leaf_bacterial_spot/4987b5ee-012c-4bcd-854d-7881a50757fd___GCREC_Bact.Sp 3209_final_masked.jpg,10
data/shared_subset/Fuzzy/pv/Potato_leaf_late_blight/420b4d84-d621-4a64-a8bd-30042f1a6609___RS_LB 2778_final_masked.jpg,6
data/shared_subset/Fuzzy/pv/Tomato_leaf_yellow_virus/c13eafa1-74af-48b8-875f-8f795a576e70___UF.GRC_YLCV_Lab 03091_final_masked.jpg,13
data/shared_subset/Fuzzy/pv/grape_leaf_black_rot/7a7e0600-62cb-4cf2-95e1-9e69489b3470___FAM_B.Rot 3393_final_masked.jpg,15
data/shared_subset/Fuzzy/pv/Tomato_leaf_bacterial_spot/196be0af-51c3-4587-bd91-9a606631d4f3___GCREC_Bact.Sp 3453_final_masked.jpg,10
data/shared_subset/Fuzzy/pv/Potato_leaf_late_blight/ae80781d-725e-486e-9677-4149b0d751ef___RS_LB 5442_final_masked.jpg,6
data/shared_subset/Fuzzy/pv/Tomato_leaf_yellow_virus/a415eac7-17c4-4614-8210-ca2b68f90388___YLCV_NREC 2066_final_masked.jpg,13
