path,label_id
data/shared_subset/hybrid/pv/Tomato_Septoria_leaf_spot/28ac876e-4b48-4486-b40a-d4fad31f6880___Keller.St_CG 1805_final_masked.jpg,11
data/shared_subset/hybrid/pv/Corn_leaf_blight/f38dbeb3-7140-4470-911f-7545b495776f___RS_NLB 3473_final_masked.jpg,5
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/0b117366-e274-4379-a660-d0affe75c975___UF.GRC_YLCV_Lab 02904_final_masked.jpg,15
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/99502cb4-ffa4-41ba-b36a-64edf9c05b41___UF.GRC_YLCV_Lab 02126_final_masked.jpg,15
data/shared_subset/hybrid/pv/Corn_rust_leaf/4500a05e-638b-4a95-9841-777e77e7404f___RS_Rust 1657_final_masked.jpg,6
data/shared_subset/hybrid/pv/Corn_rust_leaf/2873b686-5c63-41c9-b412-57d8102b6103___RS_Rust 2680_final_masked.jpg,6
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/014d1604-dbbb-4b24-b167-37ec77cccfc6___UF.GRC_YLCV_Lab 01441_final_masked.jpg,15
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/9a7182f5-7161-4177-b5dc-142444669e4e___YLCV_GCREC 2029_final_masked.jpg,15
data/shared_subset/hybrid/pv/Tomato_leaf_late_blight/280cae12-7330-4202-b5cb-236fc869907c___GHLB2 Leaf 8821_final_masked.jpg,13
data/shared_subset/hybrid/pv/Corn_rust_leaf/987a5bc4-6e3c-471a-b892-4734a7b3d689___RS_Rust 1749_final_masked.jpg,6
data/shared_subset/hybrid/pv/Corn_rust_leaf/e444fe57-5c82-45f3-b63d-59d7464aa0e5___RS_Rust 2672_final_masked.jpg,6
data/shared_subset/hybrid/pv/Bell_pepper_leaf/4dae1983-04d3-44f9-a226-e94f256677e0___JR_HL 8355_final_masked.jpg,2
data/shared_subset/hybrid/pv/Tomato_mold_leaf/27c4fc3e-760a-4d3c-8552-bb5ca4eab3d8___Crnl_L.Mold 6781_final_masked.jpg,16
data/shared_subset/hybrid/pv/Potato_leaf_late_blight/6a72ed4a-cdb5-4a50-9a0d-efc119066fd7___RS_LB 2865_final_masked.jpg,8
data/shared_subset/hybrid/pv/grape_leaf_black_rot/c38471f9-9a18-4816-8237-36e727c17a93___FAM_B.Rot 0695_final_masked.jpg,17
data/shared_subset/hybrid/pv/Potato_leaf_early_blight/bd4c7de8-0616-45d4-a060-54b8329a9462___RS_Early.B 6902_final_masked.jpg,7
data/shared_subset/hybrid/pv/grape_leaf_black_rot/2e63e970-cfb6-4bcf-865b-7b3cdf3d51e0___FAM_B.Rot 3338_final_masked.jpg,17
data/shared_subset/hybrid/pv/Squash_Powdery_mildew_leaf/80494882-41ae-4246-9fad-b5f149d3d011___MD_Powd.M 9888_final_masked.jpg,9
data/shared_subset/hybrid/pv/Tomato_leaf_bacterial_spot/9ec2ee25-8006-49f3-bde0-fb26f37a62f2___GCREC_Bact.Sp 3421_final_masked.jpg,12
data/shared_subset/hybrid/pv/grape_leaf_black_rot/9d4bbf00-5ef1-4bd1-b7bc-deb45d3deed8___FAM_B.Rot 0692_final_masked.jpg,17
data/shared_subset/hybrid/pv/Tomato_leaf_bacterial_spot/717c7e16-5170-4f12-9e76-cffdfe950803___GCREC_Bact.Sp 3718_final_masked.jpg,12
data/shared_subset/hybrid/pv/Tomato_Septoria_leaf_spot/2dd9eb69-138d-4cb6-98f6-e328c5ea25e1___Matt.S_CG 1359_final_masked.jpg,11
data/shared_subset/hybrid/pv/Bell_pepper_leaf/ce7d2ea8-c920-4ab0-a59c-807028c3baa6___JR_HL 8128_final_masked.jpg,2
data/shared_subset/hybrid/pv/Tomato_leaf_late_blight/09590524-981f-4dc5-b6e3-5225a0c48019___GHLB2ES Leaf 140_final_masked.jpg,13
data/shared_subset/hybrid/pv/Corn_leaf_blight/c12432b0-42be-456f-abb0-8cf30437498b___RS_NLB  4610_final_masked.jpg,5
data/shared_subset/hybrid/pv/Tomato_leaf_bacterial_spot/517dac9f-61a6-4e5a-928e-b0009c2d6d47___GCREC_Bact.Sp 3516_final_masked.jpg,12
data/shared_subset/hybrid/pv/Tomato_leaf_late_blight/c9258e44-7f45-4baf-8140-69d4857c56ee___GHLB_PS Leaf 45 Day 18_final_masked.jpg,13
data/shared_subset/hybrid/pv/Bell_pepper_leaf_spot/abc52078-90cf-426a-8ed8-602a35243d3e___NREC_B.Spot 9221_final_masked.jpg,3
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/81dd4d22-e4b0-4a8f-87b4-8acf3cf41d85___YLCV_GCREC 5287_final_masked.jpg,15
data/shared_subset/hybrid/pv/Corn_rust_leaf/93834aee-940d-439a-b89f-0be10770e801___RS_Rust 2184_final_masked.jpg,6
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/58977b0d-e818-4c56-937e-f0d7dc58f25b___UF.GRC_YLCV_Lab 02123_final_masked.jpg,15
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/6c6fcd54-9d2b-49f5-9337-1f0d86e60fd1___UF.GRC_YLCV_Lab 03399_final_masked.jpg,15
data/shared_subset/hybrid/pv/grape_leaf_black_rot/26c24a0b-568c-407b-90b6-7335ac631f8a___FAM_B.Rot 0536_final_masked.jpg,17
data/shared_subset/hybrid/pv/Tomato_leaf_bacterial_spot/d2baf547-f447-4b60-b642-7e1008ac6187___GCREC_Bact.Sp 5920_final_masked.jpg,12
data/shared_subset/hybrid/pv/Potato_leaf_early_blight/bc8a7fa5-1f77-4829-a1ee-0ccbeef289eb___RS_Early.B 7228_final_masked.jpg,7
data/shared_subset/hybrid/pv/Bell_pepper_leaf_spot/1f3b1b11-4934-4c0b-b054-8f8a977b488c___JR_B.Spot 3373_final_masked.jpg,3
data/shared_subset/hybrid/pv/Potato_leaf_early_blight/d50dde4d-fe2f-4e8c-b336-69be71e34ce8___RS_Early.B 6905_final_masked.jpg,7
data/shared_subset/hybrid/pv/Potato_leaf_late_blight/890ffd2b-7365-4a91-b0e1-f414da0a17a4___RS_LB 3216_final_masked.jpg,8
data/shared_subset/hybrid/pv/Tomato_Septoria_leaf_spot/32be5e7b-4215-4719-a1e8-d6f7a0a388f7___Matt.S_CG 0752_final_masked.jpg,11
data/shared_subset/hybrid/pv/Corn_leaf_blight/11d96d18-2ccd-488d-a831-266871ee59b5___RS_NLB 4124_final_masked.jpg,5
data/shared_subset/hybrid/pv/Tomato_leaf_late_blight/76ca83b8-0695-470d-a715-2fcb9efb4fc4___RS_Late.B 5062_final_masked.jpg,13
data/shared_subset/hybrid/pv/Tomato_leaf_yellow_virus/d0be6c81-9b1e-43e2-a468-373cd0987885___UF.GRC_YLCV_Lab 01907_final_masked.jpg,15
data/shared_subset/hybrid/pv/Corn_leaf_blight/398fe3cf-ca89-421f-ad3e-b16c720835c3___RS_NLB 3723_final_masked.jpg,5
data/shared_subset/hybrid/pv/Tomato_leaf_late_blight/80143d7f-db3e-4ed8-8a20-647dc0caa908___GHLB2 Leaf 78_final_masked.jpg,13
