path,label_id
data/shared_subset/sbert/pv/Apple_rust_leaf/e5521dec-ea35-479d-93be-38743927db53___FREC_C.Rust 4356_final_masked.jpg,1
data/shared_subset/sbert/pv/Tomato_leaf_yellow_virus/a6267f59-f744-487d-8d2e-2747dab5ab8b___YLCV_GCREC 5438_final_masked.jpg,12
data/shared_subset/sbert/pv/Tomato_leaf_yellow_virus/5c57e86b-a49d-4fc4-acfa-1e6a6f702eea___YLCV_NREC 2401_final_masked.jpg,12
data/shared_subset/sbert/pv/Tomato_leaf_yellow_virus/9a9619ca-d585-4336-9437-465f3d09c614___UF.GRC_YLCV_Lab 01676_final_masked.jpg,12
data/shared_subset/sbert/pv/Tomato_leaf_bacterial_spot/129f7d8d-d261-4aa6-b6ef-55a37851ac3e___UF.GRC_BS_Lab Leaf 0380_final_masked.jpg,9
data/shared_subset/sbert/pv/Bell_pepper_leaf/f790b881-1d8d-4455-acbb-07c876ceb766___JR_HL 8426_final_masked.jpg,2
data/shared_subset/sbert/pv/Apple_rust_leaf/39c00da9-396e-4bd3-8e4a-f701c11d4fa7___FREC_C.Rust 3907_final_masked.jpg,1
data/shared_subset/sbert/pv/Potato_leaf_late_blight/ff7160f9-f8d7-4576-82b8-009bf1b63b3b___RS_LB 4974_final_masked.jpg,5
data/shared_subset/sbert/pv/Tomato_leaf_yellow_virus/be0d48a8-2b03-4683-b410-f26838bc43e0___UF.GRC_YLCV_Lab 02856_final_masked.jpg,12
data/shared_subset/sbert/pv/Squash_Powdery_mildew_leaf/2ba0a8fe-1575-427d-8f94-8b338e35c154___MD_Powd.M 0079_final_masked.jpg,6
data/shared_subset/sbert/pv/Tomato_leaf_yellow_virus/1bfa27f7-fdca-4991-9d93-361e45b52304___UF.GRC_YLCV_Lab 02071_final_masked.jpg,12
data/shared_subset/sbert/pv/Tomato_Septoria_leaf_spot/5d4fc217-1da5-4459-86af-14d60427f77d___Keller.St_CG 1850_final_masked.jpg,8
data/shared_subset/sbert/pv/Tomato_leaf_yellow_virus/d990d968-58d7-4481-896f-9ecfaaf6fe44___YLCV_NREC 2793_final_masked.jpg,12
data/shared_subset/sbert/pv/Tomato_leaf_yellow_virus/affbefe8-fc81-4353-be82-4077a86b9740___YLCV_NREC 2478_final_masked.jpg,12
data/shared_subset/sbert/pv/Tomato_leaf_late_blight/b9e6992c-f73a-410e-8b06-a6ce96192c6a___GHLB2 Leaf 9077_final_masked.jpg,10
data/shared_subset/sbert/pv/Tomato_Septoria_leaf_spot/a8b47dc6-f90e-49a8-9dd7-51fcc2480c8c___Matt.S_CG 6211_final_masked.jpg,8
data/shared_subset/sbert/pv/Bell_pepper_leaf/7da6a94b-14ac-4fd8-9a26-33be1c09d411___JR_HL 8789_final_masked.jpg,2
data/shared_subset/sbert/pv/Tomato_Septoria_leaf_spot/6bda66a5-562c-4ad9-9e14-7d76dcbd4eef___Keller.St_CG 1880_final_masked.jpg,8
